path,sentence
common_voice_id_31392395.mp3,aku dalam masalah ya
common_voice_id_27647723.mp3,yang kamu katakan itu tidak masuk akal
common_voice_id_26978766.mp3,katamu kau bisa nyatanya sampai sekarang belum selesai
common_voice_id_30490454.mp3,mungkin dia sedang sakit
common_voice_id_37853448.mp3,maria berkata kepada dirinya sendiri aku sangat beruntung
common_voice_id_35279569.mp3,aku tahu bahwa kau memiliki masalah ketika kau masih kecil
common_voice_id_39588342.mp3,orang yang memakai kacamata itu adalah pak matsui
common_voice_id_26978740.mp3,kamu sudah cuci piring atau belum
common_voice_id_37896785.mp3,apa yang membuatmu begitu sedih
common_voice_id_20953397.mp3,selamat
common_voice_id_27237232.mp3,apakah anda merasa bersalah
common_voice_id_27210036.mp3,sami berlari ke kamar tidur layla
common_voice_id_26613541.mp3,mengemis meski hanya tiga hari akan menjadi kebiasaan
common_voice_id_36801883.mp3,anda tidak perlu mengatakan apaapa lagi
common_voice_id_30586398.mp3,sepertinya tom dan mary tidak benarbenar ingin melakukannya
common_voice_id_37412665.mp3,saya membersihkan kamar karena kotor
common_voice_id_35282811.mp3,apakah kamu sudah makan siang
common_voice_id_35322705.mp3,ini satusatunya harapan saya
common_voice_id_27391378.mp3,tom tahu dia mendengar sesuatu
common_voice_id_27642028.mp3,ini kapalku
common_voice_id_35928973.mp3,ketika saya datang ke sini saya tidak kenal siapa pun
common_voice_id_24034326.mp3,kesimpulan ini sulit untuk dipungkiri
common_voice_id_24034328.mp3,cek dana masuk
common_voice_id_27707128.mp3,sapporo merupakan kota terbesar kelima di jepang
common_voice_id_27707135.mp3,boleh minta api
common_voice_id_39917054.mp3,aku berpikir untuk mengganti pemasokku
common_voice_id_39917058.mp3,dia takut dengan istrinya
common_voice_id_35278186.mp3,merauke adalah kota paling timur di indonesia
common_voice_id_35278189.mp3,tidak ada ruang untuk alasan ketika itu datang dari kelalaian anda adakah
common_voice_id_27816925.mp3,saya lahir di kota kecil
common_voice_id_27816928.mp3,ini adalah manna dari surga
common_voice_id_24041300.mp3,coba lakukan dengan cara berbeda
common_voice_id_24041303.mp3,kuingin pergi sendiri berlibur ke pulau tak berpenghuni itu
common_voice_id_31745302.mp3,bila aku katakan pada ibuku dia akan kuatir maka aku tidak berfikir untuk mengatakannya
common_voice_id_31745422.mp3,pekerjaan itu memerlukan banyak tenaga
common_voice_id_25255414.mp3,dia suka mendengarkan musik
common_voice_id_25255416.mp3,kami melihat sebuah pulau di kejauhan
common_voice_id_23932392.mp3,iya
common_voice_id_23932394.mp3,sembilan
common_voice_id_30399553.mp3,aku suka biru
common_voice_id_30399580.mp3,buat apa ributribut
common_voice_id_40699760.mp3,adanya pertentangan paham itu menimbulkan kesukaran
common_voice_id_40699762.mp3,separuh dari nasinya terbuang karena sudah basi
common_voice_id_28140524.mp3,dia merawat anjing saya
common_voice_id_28140532.mp3,saya meminjam telepon dari pak kimura
common_voice_id_32120579.mp3,hampir tidak ada apaapa di kamar tersebut
common_voice_id_32120582.mp3,saya makan daging tebal
common_voice_id_25643920.mp3,ada terlalu banyak perabotan di ruangan ini
common_voice_id_25643921.mp3,bank buka dari pukul sembilan pagi sampai pukul tiga sore
common_voice_id_39871012.mp3,kecelakaan itu mengakibatkan kemacetan
common_voice_id_39871022.mp3,apakah kau melihat bukuku
common_voice_id_35280421.mp3,makasih banyak
common_voice_id_35280422.mp3,rapat tersebut ditunda hingga jumat depan
common_voice_id_37374902.mp3,tom sekarang menyadari mary tidak sedang bercanda
common_voice_id_37374904.mp3,janganlah kau terus bermuram durja
common_voice_id_28513844.mp3,apa ini milikmu
common_voice_id_28513845.mp3,kita makan untuk hidup bukan hidup untuk makan
common_voice_id_22984696.mp3,tom terlihat tidak tertarik
common_voice_id_22984697.mp3,maha suci allah
common_voice_id_32091678.mp3,masih ada orangorang yang tidak bisa membaca
common_voice_id_32091713.mp3,kaki kiri mary lumpuh
common_voice_id_36115853.mp3,saya memberi tahu pak lee makna perkataan ini
common_voice_id_36116026.mp3,kamu harus berhenti merokok
common_voice_id_22528019.mp3,satu
common_voice_id_22528020.mp3,tiga
common_voice_id_25267942.mp3,dimanakah rasa malumu hingga kamu berani berbuat sepert itu
common_voice_id_25267945.mp3,saya pergi ke rumah teman setelah pelajaran selesai
common_voice_id_39798208.mp3,apakah kamu sudah makan
common_voice_id_39798209.mp3,berdasarkan konvensi sudah sewajarnya pria melindungi wanita
common_voice_id_33020217.mp3,apa ada mesin cuci di dalam rumahnya
common_voice_id_33020219.mp3,saya kemarin di bus tidak sengaja bertemu dengan kawan lama
common_voice_id_35366254.mp3,ruangan ini tidak mendapat banyak sinar matahari
common_voice_id_35366376.mp3,ini alamat email saya
common_voice_id_25039783.mp3,nama keluarga saya adalah wang
common_voice_id_25039784.mp3,setelah minum saya mencuci gelas sampai bersih
common_voice_id_33371234.mp3,saya berjalan kaki sampai stasiun
common_voice_id_33371235.mp3,tadi pagi saya ketemu bapakmu
common_voice_id_26277256.mp3,dia mengingatkan pada kakekku
common_voice_id_26277261.mp3,aku ingin mati
common_voice_id_33021936.mp3,pak lee berencana ada di jepang selama tiga tahun
common_voice_id_33021944.mp3,daging sapi adalah daging yang paling mahal
common_voice_id_37484852.mp3,sungai itu meluap dengan cepat karena hujan deras
common_voice_id_37484853.mp3,sungai shinano paling panjang dibandingkan sungai lainnya di jepang
common_voice_id_34597895.mp3,mesin cuci itu sedang di perbaiki
common_voice_id_34597896.mp3,sepatu ini tua
common_voice_id_23920010.mp3,dua
common_voice_id_23920012.mp3,sembilan
common_voice_id_25211470.mp3,besok saya akan pergi menonton film bersama teman
common_voice_id_25211471.mp3,pak tanaka minum cocacola
common_voice_id_35199392.mp3,jangan marah mohon bersabar ini hanya ujian
common_voice_id_35199396.mp3,tom terlihat mengerti apa yang saya katakan
common_voice_id_35328731.mp3,orkestra adalah kelompok musisi yang memainkan alat musik bersama
common_voice_id_35328735.mp3,ini yang kulakukan untuk hidup
common_voice_id_25141757.mp3,aku sakit
common_voice_id_25141759.mp3,semangat untuk hari ini
common_voice_id_32820773.mp3,jangan marah mohon bersabar ini hanya ujian
common_voice_id_32820774.mp3,aku ingin merantau merasakan hidup di luar kota kelahiranku
common_voice_id_37048819.mp3,mukanya tertutup oleh jelaga
common_voice_id_37048836.mp3,kau harus lebih memperhatikan apa yang dia katakan
common_voice_id_30525697.mp3,pagi ini temanku memakan buah yang dibeli adikku
common_voice_id_30525698.mp3,hidup itu seperti jalan jalan yang panjang
common_voice_id_20483312.mp3,aku pernah ingin menjadi seorang astronom fisika
common_voice_id_20483313.mp3,saya sedang mencari dompet hitam seperti ini
common_voice_id_20483314.mp3,apakah anda pernah makan serangga
common_voice_id_31097533.mp3,apakah kamu siap jika diberangkatkan sekarang
common_voice_id_31097534.mp3,merusak berarti membeli barang
common_voice_id_31097551.mp3,aku rasa tidak
common_voice_id_26571419.mp3,orang menebangi pohonpohon disamping jalan
common_voice_id_26571440.mp3,saya bosan mendengar hal itu
common_voice_id_26571442.mp3,sebagian orang suka kopi sebagian lagi suka teh
common_voice_id_21277605.mp3,rencananya kita akan pergi ke estonia bulan depan
common_voice_id_21277606.mp3,pak tanaka tinggal di rumah besar
common_voice_id_21277608.mp3,itu kelinci yang jahat
common_voice_id_35281925.mp3,aku hanya melakukan yang selalu kulakukan
common_voice_id_35281927.mp3,aku menyuruh adikku untuk membeli gula di warung
common_voice_id_35281928.mp3,tom berlari kembali ke hutan
common_voice_id_30572171.mp3,pak tanaka bekerja dengan susah payah
common_voice_id_30572172.mp3,kemarin saya menulis surat kepada teman
common_voice_id_30572174.mp3,aku menyekakmat lawanku dengan kedua bentengku
common_voice_id_20211965.mp3,apakah anda percaya pada tuhan
common_voice_id_20211967.mp3,semuanya sedang menunggu guru di kelas
common_voice_id_20211969.mp3,anakanak kecil suka dengan buku tentang dinosaurus dan monster
common_voice_id_25008329.mp3,perusahaan yang berkembang selalu diikuti dengan perkembangan teknologi didalamnya
common_voice_id_25008331.mp3,zlatan sedang menderita cidera siku
common_voice_id_25008332.mp3,dia buruburu pulang dari inggris
common_voice_id_27960758.mp3,kualitasnya bagus
common_voice_id_27960761.mp3,anakanak meniru kebiasaan orang tuanya
common_voice_id_27960764.mp3,tom tidak berusaha melindungi dirinya sendiri
common_voice_id_38070895.mp3,sudah mulai turun hujan
common_voice_id_38070897.mp3,aku sudah tidak tahan dengannya
common_voice_id_38070903.mp3,saya mendapat gelas imut dari teman saya
common_voice_id_28290111.mp3,darimana saya mendapatkan barang itu
common_voice_id_28290114.mp3,kita harus tetap tenang
common_voice_id_28290115.mp3,aku tidak tahu artinya kebencian
common_voice_id_24995760.mp3,mau kopi atau teh
common_voice_id_24995761.mp3,awas lantai licin
common_voice_id_24995762.mp3,kurakura adalah reptil
common_voice_id_31482297.mp3,saya tidak mengerti bahasa belanda karena sukar
common_voice_id_31482298.mp3,pada ketinggian itu cuaca dapat berubah secara cepat tanpa peringatan
common_voice_id_31482300.mp3,dia lebih kuat darimu
common_voice_id_25337450.mp3,tom melihat kepada mary
common_voice_id_25337451.mp3,jepang dan luar negeri bahasanya berbeda
common_voice_id_25337452.mp3,saya membeli kalender tahun depan di toserba
common_voice_id_26977742.mp3,tom bermain kasti dengan temantemannya setelah selesai sekolah
common_voice_id_26977788.mp3,aku berterima kasih padamu
common_voice_id_26977796.mp3,bapak budi apakah ada di rumah
common_voice_id_28096568.mp3,sebenarnya aku tidak mencintainya
common_voice_id_28096569.mp3,muiriel tidak ada pilihan lain dia hanya dengan menerima kekalahannya
common_voice_id_28096577.mp3,aku hendak bertanya kepadamu hal yang sama
common_voice_id_33334022.mp3,adik perempuan saya menangis di kamar
common_voice_id_33334207.mp3,besok saya bermain dengan teman karena ada waktu luang
common_voice_id_33334232.mp3,di sini tempat yang sangat ramai
common_voice_id_27858014.mp3,negara anda di mana
common_voice_id_27858097.mp3,di mana kamu membeli bungabunga itu
common_voice_id_27858104.mp3,semua jalan berakhir di roma
common_voice_id_28850148.mp3,apakah dia tahan melakukan perjalanan jauh
common_voice_id_28850151.mp3,dia lari menyelamatkan diri
common_voice_id_28850177.mp3,namanya dikenal oleh semua orang
common_voice_id_25527152.mp3,jalanan sepi dari kendaraan
common_voice_id_25527155.mp3,saya telah mencoba semuanya namun gagal lagi
common_voice_id_25527156.mp3,tom dan mary putus
common_voice_id_24015248.mp3,tom memberi mary sekotak coklat
common_voice_id_24015249.mp3,bocah itu bernama fadli
common_voice_id_24015250.mp3,kompleks perumahan itu jauh sekali
common_voice_id_32790685.mp3,makan malam kemarin adalah masakan daging
common_voice_id_32790689.mp3,aku akan memakan kamu anak kecil
common_voice_id_32790690.mp3,eh ada kupukupu
common_voice_id_31249940.mp3,kamu percaya pernyataan saksi itu
common_voice_id_31249954.mp3,apakah kamu siswa dari jepang
common_voice_id_31249956.mp3,tidak ada orang yang cukup memperhatikan tom
common_voice_id_24016729.mp3,terdakwa korupsi itu dituntut hukuman seumur hidup
common_voice_id_24016730.mp3,kita ditugaskan untuk membentuk kelompok yang terdiri dari tiga orang
common_voice_id_24016731.mp3,apa yang harus saya lakukan jika ingin mengurus paspor di indonesia
common_voice_id_28254914.mp3,kemarin saya pergi ke karaoke tetapi tidak banyak menyanyi
common_voice_id_28254939.mp3,tom melihat mary pergi ke hutan
common_voice_id_28254940.mp3,tom belum tidur sama sekali sejak kemarin lusa
common_voice_id_24983815.mp3,kalau sakit dia lama sembuhnya
common_voice_id_24983816.mp3,produsen obat ini adalah sebuah perusahaan jepang
common_voice_id_24983817.mp3,aku ingat pernah mendengar cerita yang sangat mirip dengan itu
common_voice_id_31910947.mp3,apa yang membuatmu ragu untuk menerimanya
common_voice_id_31910959.mp3,pak tanaka memakai dasi hijau
common_voice_id_31910986.mp3,kalau bukan kampanye namanya apa dong
common_voice_id_24015630.mp3,apakah kamu bisa lebih cepat
common_voice_id_24015631.mp3,makin lama makin berguna
common_voice_id_24015632.mp3,dia menendangku
common_voice_id_23564377.mp3,pernah ke amerika
common_voice_id_23564378.mp3,kamu tidak harus datang besok
common_voice_id_23564381.mp3,apakah kamu pernah mendaki gunung fuji
common_voice_id_25359041.mp3,mereka pulang lebih awal
common_voice_id_25359042.mp3,saya memasukkan tiga sendok gula dengan sendok
common_voice_id_25359043.mp3,kami akan mengadakan sebuah pesta pada malam sabtu
common_voice_id_25359045.mp3,dia punya dua kucing
common_voice_id_22888788.mp3,saya setiap pagi pergi jalanjalan
common_voice_id_22888793.mp3,air mengalir adalah air yang bersih
common_voice_id_22888797.mp3,banyak sekali planet sebesar jupiter di bima sakti
common_voice_id_22888800.mp3,minggu depan kakak perempuan saya menikah
common_voice_id_24016276.mp3,saya baru tahu libya pernah memiliki bendera yang hanya berwarna hijau polos
common_voice_id_24016277.mp3,tasku dicuri
common_voice_id_24016278.mp3,kebanyakan turis yang datang berasal dari republik rakyat tiongkok
common_voice_id_24016279.mp3,aku akan menjemputnya malam ini
common_voice_id_26018174.mp3,gereja anglican yang terdaftar sebagai asgarby grade one didedikasikan kepada santo andrew
common_voice_id_26018175.mp3,kita harus melakukannya sekarang
common_voice_id_26018176.mp3,para pria dan wanita di resepsi di konferensi bisnis
common_voice_id_26018177.mp3,banyak tempat beristirahat sempurna lainnya di sepanjang pantai ini yang dapat ditemukan
common_voice_id_24015257.mp3,berbagai bahasa daerah dan bahasa asing menjadi bahasa serapan dan kemudian menjadi bahasa indonesia
common_voice_id_24015258.mp3,kamu tidak pulang
common_voice_id_24015259.mp3,dunia akan melihat kita
common_voice_id_24015261.mp3,beritahu dulu keburukannya
common_voice_id_19376535.mp3,ini yang dilakukan mary untuk hidup
common_voice_id_19376536.mp3,jangan tanya aku
common_voice_id_19376538.mp3,minggu depan saat saya pergi ke situ saya akan membeli dan membawa minuman
common_voice_id_19376539.mp3,sang menteri menolak memberikan wawancara pada wartawan
common_voice_id_21272933.mp3,saya menyukai tantangan
common_voice_id_21272935.mp3,saya makan kue yang saya dapat dari pak tanaka
common_voice_id_21272936.mp3,saya mengajar bahasa jepang kepada orang asing
common_voice_id_21272937.mp3,besok saya pergi ke paris
common_voice_id_37022569.mp3,jangan biarkan apapun memperlambat jalanmu
common_voice_id_37022582.mp3,muridmurid tidak ingat apa yang telah mereka baca di buku tersebut
common_voice_id_37022588.mp3,dia hidup dengan bahagia
common_voice_id_37022605.mp3,anggur adalah pencemooh minuman keras adalah pembuat ribut dan siapa disesatkan olehnya tidaklah berhikmat
common_voice_id_24016183.mp3,apa yang bisa saya berikan kepadamu
common_voice_id_24016184.mp3,nasi goreng kambing di kampung itu enak sekali
common_voice_id_24016186.mp3,tidak ada sesuatu yang tidak mungkin
common_voice_id_24016187.mp3,kakak perempuanku masih hafal lagulagu avril
common_voice_id_21553536.mp3,tidak ada jalan yang mudah untuk belajar
common_voice_id_21553538.mp3,aku ingin mati
common_voice_id_21553542.mp3,kamu bisa di sini terus asalkan kamu tetap diam
common_voice_id_21553544.mp3,saya bekerja di sini saya bukanlah seorang tamu
common_voice_id_19611907.mp3,besok saya akan menelepon pak lee
common_voice_id_19611908.mp3,tuhan dan iblis itu mengagumkan
common_voice_id_19611909.mp3,saya bukan gay tapi pacar saya gay
common_voice_id_19611910.mp3,karena sakit kepala malam ini saya tidur awal
common_voice_id_24441322.mp3,gubuk itu dibakar
common_voice_id_24441323.mp3,saya setiap pagi makan satu buah telur
common_voice_id_24441324.mp3,kami menggunakan kaki kami untuk berjalan
common_voice_id_24441325.mp3,saya akan menunggu di sini sampai dia datang
common_voice_id_39667255.mp3,dia mungkin lelah menunggu dan tertidur
common_voice_id_39667259.mp3,pulau itu tertutup es dan salju selama musim dingin
common_voice_id_39667262.mp3,ruangan ini terlalu sempit untuk kami
common_voice_id_39667273.mp3,satu hari itu sangat singkat
common_voice_id_24510886.mp3,mulai besok saya akan belajar huruf kanji tiap hari
common_voice_id_24510887.mp3,rumahku menghadap ke laut
common_voice_id_24510888.mp3,jangan berbuat hal konyol
common_voice_id_24510889.mp3,kapan agenda pertemuan ku selanjutnya
common_voice_id_19773606.mp3,awas ada truk lewat
common_voice_id_19773607.mp3,kiamat sudah dekat
common_voice_id_19773609.mp3,saya pikir itu ide yang bagus
common_voice_id_19773611.mp3,dia berkata pada dirinya sendiri aku pasti bisa
common_voice_id_25527101.mp3,hari ulang tahun saya tanggal dua puluh enam agustus
common_voice_id_25527189.mp3,ini kok nggak bisa ya
common_voice_id_25527202.mp3,hewan dan tumbuhan hidup di planet ini
common_voice_id_25527203.mp3,saya membeli baju yang lebih murah
common_voice_id_26008523.mp3,sejumlah besar pria mempelajari taurat dengan penuh waktu
common_voice_id_26008524.mp3,saya sangat tertarik dengan alamatnya
common_voice_id_26008525.mp3,apa yang anda lakukan padanya
common_voice_id_26008526.mp3,dia kemudian memulai agen kecilnya sendiri
common_voice_id_24015698.mp3,kamu tahu tidak
common_voice_id_24015699.mp3,hubungan diplomatik kedua negara itu sedang panas
common_voice_id_24015700.mp3,saya sedang makan nasi padang
common_voice_id_24015701.mp3,lamalama dia kehilangan kesabaran
common_voice_id_19597202.mp3,tom telah digigit oleh seekor ular
common_voice_id_19597203.mp3,umur dia hampir empat puluh tahun
common_voice_id_19597204.mp3,namun akhirnya apa yang kamu lakukan
common_voice_id_19597205.mp3,tidak semua buku yang di atas meja miliki saya
common_voice_id_24142791.mp3,ayah ingatkan bahwa kamu seharusnya sudah bisa bertindak dewasa
common_voice_id_24142792.mp3,pak sofyan orangnya tidak suka marahmarah
common_voice_id_24142793.mp3,enak nggak makanannya
common_voice_id_24142794.mp3,sepertinya kamu akan mendapatkan perkerjaan yang kamu impikan selama ini
common_voice_id_25396145.mp3,saya ingin ke pasar di hari minggu pagi
common_voice_id_25396146.mp3,dia bercerai dari suaminya
common_voice_id_25396147.mp3,lampu lalulintas digunakan untuk mengatur lalu lintas
common_voice_id_25396148.mp3,di kamar mandi tidak ada sabun
common_voice_id_24015267.mp3,kami tidak tahu bahwa jadwal dokter gigi itu libur disaat hari rabu
common_voice_id_24015268.mp3,ibu sedang tidak ada di rumah
common_voice_id_24015269.mp3,cek saldo
common_voice_id_24015271.mp3,vladimir merupakan seorang turis asal rusia
common_voice_id_20953154.mp3,pengeras suara itu sedang diperbaiki
common_voice_id_20953161.mp3,dia terlihat bahagia
common_voice_id_20953361.mp3,di kamar saya ada meja tempat tidur televisi dan lainlain
common_voice_id_20953364.mp3,tom hampir saja terbunuh
common_voice_id_20589579.mp3,tidak tidak pedas
common_voice_id_20589581.mp3,dia buruburu pulang dari inggris
common_voice_id_20589584.mp3,senin depan libur
common_voice_id_20589586.mp3,ya sepertinya ada salah diagnosa
common_voice_id_20287820.mp3,satu hal bagi lelaki yang sudah menikah adalah jangan pernah melupakan hari perayaan pernikahan
common_voice_id_20287821.mp3,pak basri mencintai istrinya
common_voice_id_20287823.mp3,tom mampu berenang dengan baik
common_voice_id_20287824.mp3,bungabunga ini sudah mati
common_voice_id_25414376.mp3,bagaimana perasaanmu sekarang tom
common_voice_id_25414380.mp3,keretanya di sini
common_voice_id_26568393.mp3,siapa yang terbaik dia lah yang layak menjadi pemenang
common_voice_id_26568399.mp3,kapal itu mengibarkan bendera amerika
common_voice_id_27627427.mp3,apa yang bisa saya berikan kepadamu
common_voice_id_27627462.mp3,suami ibu kobayashi bekerja di rumah sakit
common_voice_id_27627466.mp3,dia dikuburkan di kota kelahirannya
common_voice_id_27627474.mp3,sebuah artikel tentang sekolah kita muncul di koran
common_voice_id_27600432.mp3,apakah anda bisa memproduksi obatobatan dari laboratorium
common_voice_id_27600435.mp3,selamat siang permisi saya mencari loretta
common_voice_id_27600453.mp3,saya membeli oleholeh untuk keluarga
common_voice_id_27600456.mp3,sampai ketemu besok
common_voice_id_21692642.mp3,sesuatu yang mengerikan telah terjadi
common_voice_id_21692644.mp3,pertanyaannya sesulit itu hingga tiada siapapun mampu menjawabnya
common_voice_id_21692645.mp3,ibu dan ayah saya tidak di rumah sekarang
common_voice_id_21692646.mp3,sabang adalah kota paling barat di indonesia
common_voice_id_26013879.mp3,ia menerbitkan informasi resmi hukum utama dari pemerintah nasional prancis
common_voice_id_26013880.mp3,mobil biru gelap melewati jalan berlumpur dan membuat cipratan ke samping
common_voice_id_26013881.mp3,pemerintah prancis dan belgia akan menyerah
common_voice_id_26013883.mp3,dia menyelesaikan kalimatnya dengan tenang
common_voice_id_22650888.mp3,delapan
common_voice_id_22650889.mp3,tujuh
common_voice_id_22650891.mp3,sembilan
common_voice_id_22650893.mp3,tiga
common_voice_id_23784531.mp3,dia belum datang
common_voice_id_23784532.mp3,membaca buku itu tidak membosankan
common_voice_id_23784534.mp3,jimmy terbiasa diolokolok temantemannya
common_voice_id_23784535.mp3,apakah ada perbedaan
common_voice_id_25038175.mp3,kamus identik dengan tebal berat dan mahal
common_voice_id_25038176.mp3,pak kobayashi tinggal di kota yang orangnya banyak
common_voice_id_25038178.mp3,empat kata perbaris
common_voice_id_25038179.mp3,tidak ada anak lakilaki di kelas yang lebih tinggi dari bill
common_voice_id_24585625.mp3,saya belajar sejak tahun lalu
common_voice_id_24585626.mp3,bagaimana kalau minuman
common_voice_id_24585627.mp3,saya menyeberang perempatan itu dan belok kiri
common_voice_id_24585629.mp3,kamu mau minum apa
common_voice_id_25537481.mp3,ketika saya sedang makan malam teman saya datang ke rumah
common_voice_id_25537987.mp3,bahkan tom sedikit terkejut
common_voice_id_25537988.mp3,terima kasih
common_voice_id_25544269.mp3,lalu lintas jakarta selatan di hari senin pagi biasanya macet
common_voice_id_26954949.mp3,apa yang orang tersebut katakan
common_voice_id_26954955.mp3,dapatkah saya berbicara denganmu sebentar tom
common_voice_id_26955391.mp3,semua orang memerlukan tempat yang disebut rumah
common_voice_id_26955394.mp3,budayakan pemakaian kendaraan elektrik di indonesia
common_voice_id_24851693.mp3,saya pergi ke sekolah
common_voice_id_24851694.mp3,forum tata kelola internet indonesia
common_voice_id_24851695.mp3,saya sering menonton film dan pergi ke kolam renang bersama teman
common_voice_id_24851696.mp3,saya harus tidur
common_voice_id_23583178.mp3,pernah ke amerika
common_voice_id_23583179.mp3,aku bisa hidup tanpa air
common_voice_id_23583180.mp3,kamu di mana
common_voice_id_23583182.mp3,aku tidak bermaksud menyakitimu
common_voice_id_35113330.mp3,silakan dimakan
common_voice_id_35113331.mp3,di sini lantai dua
common_voice_id_35113358.mp3,tom berjongkok untuk menaruh sesuatu di rak bawah
common_voice_id_35113458.mp3,karena saya sudah mengambil banyak foto saya tidak ada film lagi
common_voice_id_35113476.mp3,novel barunya akan terbit bulan depan
common_voice_id_24041234.mp3,memisahkan sampah itu wajib
common_voice_id_24041235.mp3,kehidupanku berlanjut seperti biasa kurang lebih enam bulan lamanya
common_voice_id_24041236.mp3,kenapa kamu tidak datang malam minggu kemarin
common_voice_id_24041237.mp3,gubuk itu dibakar
common_voice_id_24041238.mp3,ada yang harus kukatakan
common_voice_id_24015277.mp3,bisa membantu yang lain
common_voice_id_24015278.mp3,dia tidak mampu melakukannya
common_voice_id_24015279.mp3,kalau saja aku bertanya padanya dia akan memberitahuku yang sebenarnya
common_voice_id_24015280.mp3,apa yang bisa saya berikan kepadamu
common_voice_id_24015281.mp3,pak tanaka mencari nafkah dengan membuka toko alat tulis di dekat stasiun
common_voice_id_21425448.mp3,dia tidak realistik
common_voice_id_21425449.mp3,apakah bisa menelepon ke luar negeri dengan telepon itu
common_voice_id_21425450.mp3,aku ingin kembali ke desamu
common_voice_id_21425451.mp3,tom berjanji padaku bahwa dia tidak akan melakukan hal itu lagi
common_voice_id_21425452.mp3,tidak boleh menggunakan pisau karena berbahaya
common_voice_id_19080908.mp3,aku sedang berbicara dengan muridku
common_voice_id_19080909.mp3,tidak banyak kendaraan yang melintas
common_voice_id_19080910.mp3,tiada kata terlambat untuk belajar
common_voice_id_19080911.mp3,pulang pergi hanya sekali jalan
common_voice_id_19080912.mp3,dia ingin menjadi seorang penyanyi
common_voice_id_19450098.mp3,dia naik taksi ke museum
common_voice_id_19450099.mp3,lebih baik aku mati daripada aku pergi
common_voice_id_19450100.mp3,omongomong malam ini ada waktu
common_voice_id_19450101.mp3,besok saya bertemu dengan teman di stasiun dan bersamasama pergi ke konser
common_voice_id_19450102.mp3,jane terlihat bahagia
common_voice_id_24606479.mp3,kalau tidak suka boleh berhenti
common_voice_id_24606480.mp3,sore hari ini ayahku ada waktu luang
common_voice_id_24606481.mp3,bahasa jepang adalah bahasa ibu kita
common_voice_id_24606482.mp3,indonesia adalah negara terbesar di dunia yang terletak hanya di pulau
common_voice_id_24606483.mp3,naples adalah kota yang indah
common_voice_id_24016087.mp3,komodo merupakan satwa langka
common_voice_id_24016088.mp3,dia ingin sekali ke swedia
common_voice_id_24016089.mp3,kecelakaan pesawat itu menewaskan banyak korban jiwa
